Sentencing County,Offense Type,Sentence Years,Sentence Months
Winnebago,Person Crimes,0002,006
Cook,Person Crimes,0002,000
Stephenson,Person Crimes,0000,030
Coles,Property Crimes,0004,000
Kendall,Drug Crimes,0004,000
Cook,Person Crimes,0007,000
Cook,Person Crimes,0004,000
Pike,Sex Crimes,0006,000
Kankakee,Property Crimes,0001,000
Whiteside,Person Crimes,0010,000
Cook,Person Crimes,0000,054
Winnebago,Property Crimes,0003,000
Cook,Property Crimes,0004,000
Iroquois,Property Crimes,0003,000
Cook,Person Crimes,0002,000
Gallatin,Person Crimes,0004,000
Cook,Person Crimes,0003,000
Cook,Person Crimes,0022,000
Cook,Person Crimes,0008,000
Henry,Person Crimes,0003,000
Dupage,Person Crimes,0003,000
Cook,Person Crimes,0008,000
Cook,Person Crimes,0023,000
Cook,Drug Crimes,0004,000
Cook,Property Crimes,0001,000
Effingham,Property Crimes,0005,000
Kane,Drug Crimes,0004,000
Boone,Property Crimes,0003,000
Cook,Person Crimes,0001,000
Cook,Person Crimes,0005,000
Cook,Person Crimes,0003,000
Cook,Person Crimes,0004,000
Cook,Person Crimes,0012,000
Dupage,Property Crimes,0001,000
Henry,Person Crimes,0003,000
Jackson,Drug Crimes,0000,144
Pike,Drug Crimes,0003,000
St. Clair,Drug Crimes,0002,000
Peoria,Sex Crimes,0004,000
Peoria,Property Crimes,0002,000
Cook,Person Crimes,0003,006
Cook,Person Crimes,0004,006
Champaign,Drug Crimes,0003,000
Vermilion,Person Crimes,0020,000
Tazewell,Drug Crimes,0004,000
Cook,Person Crimes,0002,000
Cook,Person Crimes,0021,000
Mason,Sex Crimes,0014,000
Madison,Drug Crimes,0003,000
Cook,Property Crimes,0010,000
Lawrence,Person Crimes,0003,000
Cook,Person Crimes,0002,000
Livingston,Sex Crimes,0002,000
Crawford,Drug Crimes,0008,000
Cook,Sex Crimes,0006,000
Cook,Person Crimes,0002,000
Henry,Person Crimes,0001,006
Cook,Person Crimes,0007,000
Winnebago,Drug Crimes,0001,000
Macon,Property Crimes,0003,000
Macon,Person Crimes,0002,000
St. Clair,Person Crimes,0002,000
Cook,Property Crimes,0001,000
Logan,Person Crimes,0020,000
Cook,Person Crimes,0005,000
Lake,Person Crimes,0003,000
Cook,Property Crimes,0001,000
Lake,Person Crimes,0009,006
Livingston,Other Crimes,0006,000
Kane,Person Crimes,0002,000
Cook,Sex Crimes,0018,000
Cook,Drug Crimes,0001,000
Macon,Person Crimes,0001,006
St. Clair,Person Crimes,0004,000
Greene,Sex Crimes,0003,000
Kendall,Property Crimes,0002,000
Kendall,Drug Crimes,0001,000
Cook,Property Crimes,0003,000
Dupage,Person Crimes,0004,000
Cook,Person Crimes,0007,000
Will,Person Crimes,0008,000
Lake,Person Crimes,0003,000
Livingston,Person Crimes,0006,000
Fulton,Drug Crimes,0002,000
Lake,Drug Crimes,0000,030
Winnebago,Person Crimes,0060,000
Tazewell,Person Crimes,0005,000
Lake,Property Crimes,0000,030
Adams,Person Crimes,0008,000
Rock Island,Property Crimes,0005,000
Will,Person Crimes,0005,000
St. Clair,Property Crimes,0002,000
Cook,Person Crimes,0003,000
Cook,Person Crimes,0006,000
Rock Island,Person Crimes,0028,000
Lake,Person Crimes,0000,030
Cook,Drug Crimes,0001,000
Dupage,Property Crimes,0009,000
Dupage,Drug Crimes,0002,000
Monroe,Drug Crimes,0003,000
Rock Island,Property Crimes,0003,000
Cook,Drug Crimes,0003,000
Cook,Person Crimes,0002,000
Franklin,Property Crimes,0000,023
Cook,Property Crimes,0004,000
Cook,Drug Crimes,0001,000
Cook,Person Crimes,0003,000
Madison,Drug Crimes,0008,000
Macoupin,Property Crimes,0004,000
Adams,Person Crimes,0005,000
Jefferson,Property Crimes,0002,000
Cook,Person Crimes,0005,000
Cook,Drug Crimes,0001,000
Cook,Person Crimes,0022,000
Madison,Person Crimes,0004,000
Will,Person Crimes,0003,000
Kendall,Person Crimes,0003,000
Morgan,Drug Crimes,0005,000
Cook,Property Crimes,0004,000
Union,Person Crimes,0003,000
Cook,Person Crimes,0014,000
Cook,Person Crimes,0005,000
Peoria,Person Crimes,0022,000
Winnebago,Property Crimes,0003,006
Champaign,Person Crimes,0007,000
Cook,Person Crimes,0003,000
Cook,Person Crimes,0007,000
Will,Person Crimes,0020,000
St. Clair,Person Crimes,0003,000
Cook,Person Crimes,0002,000
Cook,Person Crimes,0003,000
Cook,Person Crimes,0006,000
Ford,Property Crimes,0003,008
Dupage,Drug Crimes,0002,000
McLean,Person Crimes,0006,000
Henry,Drug Crimes,0005,000
Cook,Property Crimes,0001,000
Champaign,Property Crimes,0000,040
Grundy,Sex Crimes,0004,000
McLean,Drug Crimes,0009,000
Monroe,Property Crimes,0004,000
Cook,Person Crimes,0009,000
Cass,Drug Crimes,0007,000
Coles,Person Crimes,0005,000
Morgan,Drug Crimes,0002,000
Peoria,Person Crimes,0003,000
Cook,Person Crimes,0004,000
Cook,Person Crimes,0006,000
Cook,Person Crimes,0014,000
Winnebago,Person Crimes,0005,000
Williamson,Drug Crimes,0001,000
Cook,Person Crimes,0001,000
Cook,Person Crimes,0002,000
St. Clair,Property Crimes,0002,000
Christian,Drug Crimes,0002,000
Schuyler,Property Crimes,0003,000
Tazewell,Property Crimes,0008,000
Peoria,Person Crimes,0004,000
McLean,Person Crimes,0005,000
Cook,Person Crimes,0000,042
Kane,Person Crimes,0005,000
Cook,Drug Crimes,0004,000
St. Clair,Drug Crimes,0002,000
Lake,Person Crimes,0002,000
St. Clair,Property Crimes,0003,000
Stephenson,Sex Crimes,0014,000
Adams,Person Crimes,0007,000
Cook,Person Crimes,0001,000
Lake,Property Crimes,0006,000
Cook,Property Crimes,0003,000
Cook,Drug Crimes,0000,018
Kane,Drug Crimes,0007,000
Champaign,Property Crimes,0003,000
Cook,Sex Crimes,0012,000
McHenry,Sex Crimes,0010,000
Cook,Property Crimes,0004,000
Cook,Person Crimes,0008,000
Livingston,Sex Crimes,0003,000
Cook,Person Crimes,0001,000
Cook,Property Crimes,0000,018
Tazewell,Property Crimes,0001,000
Macon,Property Crimes,0004,006
Sangamon,Sex Crimes,0010,000
Cook,Person Crimes,0003,000
Woodford,Person Crimes,0005,000
Cook,Person Crimes,0004,000
Will,Drug Crimes,0004,000
Cook,Person Crimes,0008,000
Cook,Property Crimes,0004,000
St. Clair,Sex Crimes,0004,000
Cook,Person Crimes,0008,000
Cook,Person Crimes,0023,000
Cook,Person Crimes,0008,000
St. Clair,Property Crimes,0001,000
Cook,Property Crimes,0002,000
Livingston,Drug Crimes,0010,000
Ogle,Person Crimes,0001,006
Cook,Sex Crimes,0020,000
Dupage,Person Crimes,0008,000
Cook,Drug Crimes,0001,000
Cook,Person Crimes,0003,000
McHenry,Person Crimes,0000,018
Cook,Person Crimes,0002,000
Madison,Drug Crimes,0015,000
Tazewell,Drug Crimes,0002,009
Cook,Person Crimes,0015,000
Dupage,Person Crimes,0002,006
Cook,Person Crimes,0003,000
Cook,Sex Crimes,0006,000
Cook,Person Crimes,0004,006
Wayne,Sex Crimes,0002,000
Cook,Person Crimes,0002,000
Rock Island,Person Crimes,0001,000
Cook,Other Crimes,0002,000
Cook,Person Crimes,0001,000
Kankakee,Person Crimes,0002,000
Cook,Person Crimes,0003,000
Macon,Sex Crimes,0010,000
Lee,Sex Crimes,0004,008
McHenry,Drug Crimes,0006,000
Cook,Person Crimes,0003,000
McLean,Other Crimes,0004,000
Winnebago,Person Crimes,0003,000
Madison,Property Crimes,0008,000
Jefferson,Person Crimes,0009,000
Rock Island,Person Crimes,0003,000
Peoria,Sex Crimes,0007,000
Cook,Property Crimes,0004,000
Dupage,Drug Crimes,0004,000
Will,Person Crimes,0003,000
Cook,Person Crimes,0010,000
Cook,Person Crimes,0004,000
Cook,Person Crimes,0004,000
Macon,Person Crimes,0003,000
Cook,Person Crimes,0007,000
Rock Island,Drug Crimes,0009,000
Peoria,Property Crimes,0002,000
Winnebago,Person Crimes,0002,000
Ford,Person Crimes,0005,006
Cook,Person Crimes,0002,000
Macoupin,Person Crimes,0010,000
Woodford,Drug Crimes,0003,000
Kendall,Property Crimes,0002,000
Cook,Property Crimes,0006,000
McLean,Person Crimes,0002,000
St. Clair,Person Crimes,0002,000
Cook,Person Crimes,0040,000
Cook,Person Crimes,0060,000
Cook,Person Crimes,0005,000
Cook,Person Crimes,0002,000
Cook,Sex Crimes,0002,000
Dupage,Person Crimes,0012,000
Sangamon,Person Crimes,0020,000
Cook,Person Crimes,0008,000
Macon,Person Crimes,0004,000
Coles,Sex Crimes,0003,000
Cook,Person Crimes,0003,000
Piatt,Person Crimes,0000,018
Cook,Person Crimes,0040,000
Cook,Property Crimes,0003,000
Will,Person Crimes,0006,000
Knox,Person Crimes,0002,000
Lake,Drug Crimes,0010,000
Cook,Person Crimes,0004,000
Cook,Person Crimes,0002,000
Will,Property Crimes,0005,000
Rock Island,Person Crimes,0007,000
Macon,Person Crimes,0005,000
Cook,Person Crimes,0020,000
Cook,Person Crimes,0003,000
Boone,Person Crimes,0005,006
DeKalb,Person Crimes,0002,000
Vermilion,Drug Crimes,0002,006
Winnebago,Person Crimes,0002,000
Will,Property Crimes,0002,000
Franklin,Property Crimes,0004,000
Dupage,Drug Crimes,0000,018
Kankakee,Person Crimes,0003,000
Winnebago,Person Crimes,0025,000
Lake,Person Crimes,0000,020
Cook,Person Crimes,0001,000
Cook,Person Crimes,0010,000
Cook,Property Crimes,0003,000
Coles,Sex Crimes,0014,000
Cook,Person Crimes,0040,000
Franklin,Property Crimes,0003,000
Winnebago,Person Crimes,0004,000
Lake,Property Crimes,0001,000
Macon,Person Crimes,0004,000
Kane,Sex Crimes,0006,000
Cook,Property Crimes,0001,000
Coles,Drug Crimes,0002,000
Cook,Property Crimes,0001,000
Cook,Person Crimes,0002,000
DeWitt,Sex Crimes,0010,000
Cook,Person Crimes,0007,000
Dupage,Person Crimes,0003,000
Lake,Drug Crimes,0003,000
Macon,Property Crimes,0003,000
Cook,Person Crimes,0004,000
Cook,Person Crimes,0008,000
Ford,Person Crimes,0002,006
Dupage,Property Crimes,0001,000
Cook,Person Crimes,0004,000
Winnebago,Sex Crimes,0004,000
Cook,Person Crimes,0008,000
Dupage,Sex Crimes,0003,000
Cook,Person Crimes,0007,000
Hamilton,Drug Crimes,0004,000
McLean,Person Crimes,0001,006
Dupage,Property Crimes,0001,000
Kankakee,Drug Crimes,0005,000
Cook,Person Crimes,0006,000
Marion,Property Crimes,0003,000
Madison,Person Crimes,0018,000
Cook,Person Crimes,0002,000
Champaign,Person Crimes,0007,000
St. Clair,Person Crimes,0006,000
Adams,Person Crimes,0002,006
Winnebago,Person Crimes,0005,000
Kendall,Person Crimes,0005,000
Grundy,Sex Crimes,0008,000
Cook,Person Crimes,0003,000
Lake,Drug Crimes,0005,000
Christian,Property Crimes,0005,000
St. Clair,Property Crimes,0004,000
Cook,Person Crimes,0001,000
Livingston,Person Crimes,0002,000
Macon,Property Crimes,0003,006
Cook,Sex Crimes,0008,000
Cook,Property Crimes,0003,000
Champaign,Person Crimes,0004,000
Cook,Person Crimes,0001,000
Will,Property Crimes,0002,000
Macon,Person Crimes,0001,006
Macon,Person Crimes,0001,006
Cook,Person Crimes,0001,000
Perry,Drug Crimes,0003,006
Cook,Person Crimes,0004,000
Winnebago,Drug Crimes,0006,000
Cook,Person Crimes,0001,000
Champaign,Person Crimes,0008,000
Kankakee,Drug Crimes,0004,000
Sangamon,Person Crimes,0000,018
Cook,Person Crimes,0006,000
Lee,Sex Crimes,SDP, 
Cook,Person Crimes,0010,000
Cook,Person Crimes,0003,006
Cook,Person Crimes,0005,000
Tazewell,Person Crimes,0015,000
Ford,Drug Crimes,0007,000
Jersey,Property Crimes,0002,000
Cook,Person Crimes,0021,000
Fayette,Drug Crimes,0006,000
Cook,Person Crimes,0010,006
Will,Property Crimes,0003,000
Cook,Person Crimes,0018,000
Cook,Person Crimes,0000,030
Cook,Person Crimes,0010,000
Clay,Drug Crimes,0004,000
Cook,Property Crimes,0004,000
Fayette,Property Crimes,0004,000
Franklin,Sex Crimes,0000,030
Cook,Person Crimes,0003,000
Macoupin,Person Crimes,0003,000
Cook,Other Crimes,0004,000
Cook,Property Crimes,0003,000
Cook,Property Crimes,0000,028
Cook,Person Crimes,0010,000
Vermilion,Drug Crimes,0015,000
Cook,Person Crimes,0005,000
Jefferson,Drug Crimes,0006,000
Wabash,Drug Crimes,0002,009
Cook,Person Crimes,0003,000
Rock Island,Person Crimes,0000,018
Cook,Person Crimes,0006,000
McLean,Drug Crimes,0004,000
Cook,Person Crimes,0048,000
Winnebago,Sex Crimes,0003,000
Cook,Person Crimes,0001,000
Champaign,Property Crimes,0002,006
Cook,Person Crimes,0006,000
Cook,Person Crimes,0006,000
Lawrence,Other Crimes,0002,000
Kankakee,Person Crimes,0003,000
Cook,Person Crimes,0001,000
Lake,Property Crimes,0002,000
Sangamon,Sex Crimes,0009,000
Franklin,Drug Crimes,0004,000
Winnebago,Person Crimes,0004,000
St. Clair,Drug Crimes,0006,000
Winnebago,Property Crimes,0001,006
Cook,Person Crimes,0010,000
Cook,Person Crimes,0001,000
Madison,Drug Crimes,0004,000
Cook,Person Crimes,0005,000
Cook,Person Crimes,0001,000
Union,Property Crimes,0005,000
Montgomery,Property Crimes,0000,014
Dupage,Property Crimes,0003,000
Crawford,Drug Crimes,0010,000
Clay,Person Crimes,0000,057
Johnson,Person Crimes,0004,000
Peoria,Person Crimes,0003,006
McLean,Drug Crimes,0002,000
Winnebago,Person Crimes,0003,004
Cook,Person Crimes,0000,030
Lasalle,Person Crimes,0004,000
Cook,Person Crimes,0003,000
Christian,Other Crimes,0001,000
Shelby,Person Crimes,0006,000
St. Clair,Drug Crimes,0004,000
Cook,Person Crimes,0010,000
Pike,Property Crimes,0000,018
Massac,Person Crimes,0003,000
Cook,Person Crimes,0003,000
Madison,Person Crimes,0003,000
Lake,Person Crimes,0000,033
Cook,Person Crimes,0030,000
Cook,Person Crimes,0000,042
Madison,Person Crimes,0004,000
Cook,Person Crimes,0003,000
Cook,Person Crimes,0008,000
Macon,Person Crimes,0004,000
Sangamon,Sex Crimes,0006,006
Dupage,Drug Crimes,0003,006
Cook,Person Crimes,0000,018
Cook,Person Crimes,0003,000
Cook,Property Crimes,0004,006
Cook,Property Crimes,0003,000
McLean,Property Crimes,0002,000
Cook,Person Crimes,0060,000
Cook,Property Crimes,0001,000
Cook,Person Crimes,0001,000
Lake,Person Crimes,0000,018
Cook,Property Crimes,0003,000
Macoupin,Drug Crimes,0002,000
Cook,Person Crimes,0005,000
Cook,Sex Crimes,0006,000
Cook,Person Crimes,0005,000
Cook,Drug Crimes,0002,000
Cook,Person Crimes,0005,000
Dupage,Drug Crimes,0007,000
Mercer,Sex Crimes,0009,000
Dupage,Drug Crimes,0003,000
Cook,Drug Crimes,0001,000
Shelby,Property Crimes,0002,000
White,Drug Crimes,0006,000
Cook,Person Crimes,0008,000
Cook,Person Crimes,0001,000
